Kms_Driven,Present_Price,Fuel_Type,Seller_Type,Transmission,Age,Selling_Price
45000,0.94,Petrol,Individual,Manual,10,0.52
24000,0.94,Petrol,Individual,Manual,4,0.51
6000,0.826,Petrol,Individual,Manual,9,0.5
31000,0.55,Petrol,Individual,Manual,4,0.5
13000,0.99,Petrol,Individual,Manual,8,0.5
45000,0.99,Petrol,Individual,Manual,7,0.5
8000,0.88,Petrol,Individual,Manual,6,0.5
4300,0.51,Petrol,Individual,Automatic,3,0.48
15000,0.52,Petrol,Individual,Manual,3,0.48
23000,0.84,Petrol,Individual,Manual,5,0.48
8600,0.54,Petrol,Individual,Manual,3,0.48
4000,0.51,Petrol,Individual,Automatic,3,0.45
24000,0.95,Petrol,Individual,Manual,9,0.45
23000,0.826,Petrol,Individual,Manual,6,0.45
14500,0.99,Petrol,Individual,Manual,8,0.45
27000,0.95,Petrol,Individual,Manual,10,0.45
14000,0.54,Petrol,Individual,Manual,4,0.45
500,0.54,Petrol,Individual,Automatic,4,0.45
1000,0.55,Petrol,Individual,Manual,4,0.45
42000,0.81,Petrol,Individual,Manual,6,0.42
12000,0.73,Petrol,Individual,Manual,7,0.42
14000,0.54,Petrol,Individual,Manual,5,0.4
5500,0.83,Petrol,Individual,Manual,8,0.4
6700,0.55,Petrol,Individual,Manual,5,0.4
13700,0.64,Petrol,Individual,Manual,6,0.4
1300,0.51,Petrol,Individual,Automatic,3,0.4
38600,0.72,Petrol,Individual,Manual,5,0.38
75000,0.787,Petrol,Individual,Manual,9,0.38
30000,1.05,Petrol,Individual,Manual,9,0.35
24000,0.57,Petrol,Individual,Automatic,4,0.35
19000,0.52,Petrol,Individual,Automatic,6,0.35
213000,1.05,Petrol,Individual,Manual,10,0.31
60000,0.51,Petrol,Individual,Manual,8,0.3
50000,0.48,Petrol,Individual,Manual,4,0.3
30000,0.58,Petrol,Individual,Manual,7,0.3
21000,0.47,Petrol,Individual,Manual,7,0.27
26000,0.75,Petrol,Individual,Manual,12,0.25
1900,0.58,Petrol,Individual,Automatic,12,0.25
22000,0.52,Petrol,Individual,Automatic,10,0.25
32000,0.51,Petrol,Individual,Manual,7,0.25
18000,0.57,Petrol,Individual,Manual,7,0.25
55000,0.57,Petrol,Individual,Manual,15,0.2
60000,0.75,Petrol,Individual,Manual,12,0.2
25000,0.57,Petrol,Individual,Manual,8,0.2
49000,0.75,Petrol,Individual,Manual,13,0.2
24000,0.65,Petrol,Individual,Manual,7,0.2
50000,0.787,Petrol,Individual,Manual,12,0.2
35000,0.32,Petrol,Individual,Manual,5,0.18
500000,0.52,Petrol,Individual,Automatic,12,0.17
33000,0.51,Petrol,Individual,Manual,10,0.16
35000,0.57,Petrol,Individual,Manual,9,0.15
53000,0.58,Petrol,Individual,Manual,13,0.12
92233,0.75,Petrol,Individual,Manual,14,0.1
58000,6.79,Diesel,Dealer,Manual,10,3.25
28200,5.7,Petrol,Dealer,Manual,5,4.4
53460,4.6,Petrol,Dealer,Manual,9,2.95
28282,4.43,Petrol,Dealer,Manual,5,2.75
3493,5.7,Petrol,Dealer,Manual,4,5.25
12479,7.13,Petrol,Dealer,Manual,3,5.75
34797,5.7,Petrol,Dealer,Automatic,5,5.15
3435,8.1,Petrol,Dealer,Manual,3,7.9
21125,5.7,Diesel,Dealer,Manual,5,4.85
35775,4.6,Petrol,Dealer,Manual,8,3.1
43535,14.79,Diesel,Dealer,Manual,5,11.75
22671,13.6,Petrol,Dealer,Manual,4,11.25
31604,6.79,Petrol,Dealer,Manual,9,2.9
20114,5.7,Petrol,Dealer,Manual,3,5.25
36100,9.4,Petrol,Dealer,Manual,8,4.5
12500,4.43,Petrol,Dealer,Manual,4,2.9
15000,4.43,Petrol,Dealer,Manual,4,3.15
45078,9.4,Petrol,Dealer,Manual,6,6.45
36000,9.4,Petrol,Dealer,Manual,8,4.5
38488,4.43,Petrol,Dealer,Manual,3,3.5
32000,6.79,Petrol,Dealer,Automatic,7,4.5
77632,7.6,Diesel,Dealer,Manual,6,6.0
61381,9.4,Diesel,Dealer,Manual,5,8.25
36198,9.4,Petrol,Dealer,Automatic,7,5.11
22517,4.6,Petrol,Dealer,Manual,9,2.7
24678,5.7,Petrol,Dealer,Manual,5,5.25
57000,4.43,Petrol,Dealer,Manual,9,2.55
60000,9.4,Diesel,Dealer,Manual,8,4.95
52132,6.79,Diesel,Dealer,Manual,8,3.1
45000,9.4,Diesel,Dealer,Manual,7,6.15
15001,9.4,Petrol,Dealer,Manual,3,9.25
12900,14.79,Petrol,Dealer,Automatic,5,11.45
53000,5.7,Diesel,Dealer,Manual,7,3.9
4492,5.7,Petrol,Dealer,Manual,5,5.5
15141,9.4,Petrol,Dealer,Manual,3,9.1
11849,4.43,Petrol,Dealer,Manual,4,3.1
68000,13.6,Diesel,Dealer,Manual,5,11.25
60241,9.4,Petrol,Dealer,Manual,7,4.8
23709,4.43,Petrol,Dealer,Manual,8,2.0
32322,9.4,Diesel,Dealer,Manual,8,5.35
35866,7.13,Petrol,Dealer,Manual,5,4.75
34000,7.13,Petrol,Dealer,Manual,6,4.4
7000,7.6,Petrol,Dealer,Manual,4,6.25
49000,9.4,Diesel,Dealer,Manual,7,5.95
71000,9.4,Diesel,Dealer,Manual,8,5.2
35000,6.79,Petrol,Dealer,Manual,8,3.75
36000,9.4,Petrol,Dealer,Manual,5,5.95
30000,4.6,Petrol,Dealer,Manual,7,4.0
17000,7.6,Petrol,Dealer,Manual,4,5.25
35934,13.6,Diesel,Dealer,Manual,4,12.9
56701,9.9,Petrol,Dealer,Manual,7,5.0
31427,6.82,Petrol,Dealer,Automatic,5,5.4
48000,9.9,Diesel,Dealer,Manual,6,7.2
54242,9.9,Petrol,Dealer,Manual,7,5.25
53675,5.35,Petrol,Dealer,Manual,8,3.0
49562,13.6,Petrol,Dealer,Manual,4,10.25
40324,13.6,Petrol,Dealer,Manual,5,8.5
25000,13.6,Petrol,Dealer,Manual,5,8.4
36054,7.0,Petrol,Dealer,Manual,6,3.9
29223,13.6,Petrol,Dealer,Manual,4,9.15
5600,5.97,Petrol,Dealer,Manual,4,5.5
40023,5.8,Petrol,Dealer,Manual,5,4.0
16002,7.7,Petrol,Dealer,Manual,4,6.6
40026,7.0,Petrol,Dealer,Manual,5,4.0
21200,8.7,Petrol,Dealer,Manual,3,6.5
35000,7.0,Petrol,Dealer,Manual,6,3.65
19434,9.4,Diesel,Dealer,Manual,4,8.35
19000,5.8,Petrol,Dealer,Manual,3,4.8
18828,10.0,Petrol,Dealer,Manual,5,6.7
69341,10.0,Petrol,Dealer,Manual,9,4.1
69562,10.0,Petrol,Dealer,Manual,11,3.0
27600,10.0,Petrol,Dealer,Manual,5,7.5
61203,7.5,Petrol,Dealer,Manual,10,2.25
16500,6.8,Petrol,Dealer,Manual,6,5.3
30753,13.6,Petrol,Dealer,Automatic,4,10.9
24800,13.6,Petrol,Dealer,Manual,5,8.65
21780,13.6,Petrol,Dealer,Manual,5,9.7
4000,8.4,Petrol,Dealer,Manual,4,6.0
40126,13.6,Petrol,Dealer,Manual,6,6.25
14465,5.9,Petrol,Dealer,Manual,5,5.25
50456,7.6,Petrol,Dealer,Manual,14,2.1
63000,14.0,Diesel,Dealer,Manual,6,8.25
9010,11.8,Petrol,Dealer,Manual,4,8.99
9800,5.9,Petrol,Dealer,Manual,7,3.5
15059,8.5,Petrol,Dealer,Automatic,4,7.4
28569,7.9,Petrol,Dealer,Manual,4,5.65
44000,7.5,Petrol,Dealer,Automatic,5,5.75
34000,13.6,Petrol,Dealer,Manual,5,8.4
10980,13.6,Petrol,Dealer,Manual,4,10.11
19000,6.4,Petrol,Dealer,Manual,6,4.5
31427,6.1,Petrol,Dealer,Manual,5,5.4
12000,8.4,Petrol,Dealer,Manual,4,6.4
38000,9.9,Petrol,Dealer,Manual,10,3.25
33019,6.8,Petrol,Dealer,Manual,6,3.75
60076,13.09,Diesel,Dealer,Manual,5,8.55
33988,11.6,Diesel,Dealer,Manual,4,9.5
60000,5.9,Petrol,Dealer,Manual,5,4.0
87934,11.0,Petrol,Dealer,Manual,11,3.35
9000,12.5,Diesel,Dealer,Manual,3,11.5
5464,5.9,Petrol,Dealer,Manual,4,5.3
65823,14.318141951996347,Petrol,Dealer,Automatic,8,8.457474851741626
45721,18.43641215205772,Diesel,Dealer,Manual,5,12.139682421761997
59094,18.693472496282,Diesel,Dealer,Automatic,7,12.622043356768934
81190,19.03157151369557,Diesel,Dealer,Automatic,9,12.201894496470722
53822,18.5411932327006,Diesel,Dealer,Manual,7,11.546207478672692
81823,18.793002040689053,Diesel,Dealer,Automatic,6,12.224799312868708
80265,16.034653749189033,Petrol,Dealer,Automatic,12,5.941929683007002
88823,17.02031673229079,Petrol,Dealer,Automatic,12,9.314117737947788
95701,13.405592410804635,Petrol,Dealer,Manual,9,7.8414169837054
93960,14.231858086958106,Diesel,Dealer,Automatic,8,10.503508797340883
55021,14.366686166019246,Diesel,Dealer,Manual,6,9.77764132961678
83364,13.091561803196036,Diesel,Dealer,Automatic,13,7.999664484155862
83822,19.7146330922908,CNG,Dealer,Manual,7,13.709332839774266
90260,16.621248765814713,CNG,Individual,Automatic,9,8.196646364922001
77822,17.352262913736027,CNG,Dealer,Automatic,8,10.706204389864396
83822,17.834549150507662,Diesel,Dealer,Automatic,8,9.726197102690122
83822,17.177118691697444,CNG,Dealer,Automatic,8,11.14628626232876
88819,16.18239063708412,CNG,Individual,Automatic,12,9.611902708573847
100823,13.88680747152819,Petrol,Individual,Automatic,20,7.828990242082697
96821,14.695664928702053,Diesel,Dealer,Manual,15,6.166003350398119
103822,13.494203956109612,Petrol,Dealer,Manual,16,8.239374301793879
78823,38.60943669916235,Diesel,Individual,Automatic,7,28.692631232563222
53823,29.1665687345954,CNG,Dealer,Manual,6,23.143141260868088
173823,38.3867108784229,CNG,Dealer,Manual,10,19.986521837333896
128821,17.610762496065302,CNG,Dealer,Automatic,17,7.83268935456488
108820,22.18284991456421,Diesel,Dealer,Automatic,14,8.616999055160894
79356,16.87341849526476,Petrol,Individual,Manual,9,8.521510022189485
79820,43.932198384691645,Diesel,Dealer,Manual,9,25.43674353749776
116821,44.37389561161905,CNG,Dealer,Automatic,9,24.210843027580133
83822,15.459073384658566,CNG,Individual,Manual,10,9.534004903460858
49821,31.91582517839824,Diesel,Dealer,Automatic,6,24.040643101992963
97821,29.622881343264176,Diesel,Dealer,Automatic,14,14.0849462573301
83821,21.91801004613581,Petrol,Dealer,Automatic,13,9.31463184870887
81820,14.750626769643912,Diesel,Dealer,Manual,12,8.242677410440635
121820,17.87176738667872,Petrol,Individual,Automatic,8,11.163938786606074
74822,14.99273401755443,Diesel,Dealer,Manual,7,11.186991843676026
173976,20.2153901409279,Petrol,Individual,Automatic,17,7.321536281274165
127822,39.79553780503453,Petrol,Individual,Manual,11,19.68993829010615
61821,23.120447070317383,CNG,Dealer,Manual,6,18.966208227681506
78820,16.869206596364194,CNG,Dealer,Manual,7,10.09150155900646
53821,32.92281763179528,CNG,Dealer,Manual,6,28.51734091403866
76822,22.03630991719003,Diesel,Individual,Automatic,6,16.045810277711247
235999,21.68116414931655,Diesel,Dealer,Automatic,17,9.47611088223303
85822,14.48757990035046,Petrol,Dealer,Manual,9,8.041446666524177
113822,21.961549290198995,Petrol,Dealer,Manual,17,8.842937364487952
78821,39.12849501609247,Petrol,Individual,Automatic,6,29.07365124419109
127821,30.47642817840948,Diesel,Dealer,Automatic,14,10.833916488851262
67821,33.99036641724949,Diesel,Dealer,Automatic,5,24.43271129773889
88846,28.32060469120375,Diesel,Individual,Automatic,13,15.57503532577085
41820,10.656827420320338,Petrol,Dealer,Manual,9,7.890796103367487
42922,10.10713955465983,Petrol,Dealer,Manual,5,6.541871785274585
60521,9.847264865102344,CNG,Dealer,Automatic,5,7.667759471131319
53820,10.828084549624428,Diesel,Dealer,Automatic,10,7.241033127823956
49822,10.613746891812552,Diesel,Individual,Automatic,7,5.605082922304594
44822,9.326340043335277,Diesel,Individual,Automatic,8,6.53203682001605
47521,9.11135295241095,CNG,Individual,Automatic,6,7.482449871458513
73823,11.468324127425682,Diesel,Individual,Manual,7,4.978152354756398
52822,10.315597656087151,Petrol,Dealer,Manual,8,4.952320122883036
64821,9.66445054102059,Petrol,Dealer,Automatic,7,7.097136450468673
85321,11.208850365790685,CNG,Dealer,Manual,9,7.106271047398973
40123,11.040553169077882,Diesel,Individual,Manual,6,7.727489031718795
45821,9.196924797350553,Petrol,Individual,Automatic,8,7.461222786075417
41823,10.383488189015717,Diesel,Dealer,Automatic,6,5.316466525541964
39323,9.612472505708132,Petrol,Dealer,Automatic,7,5.815001813605086
43821,10.928791687254376,Petrol,Individual,Automatic,8,4.652076404474453
58823,9.405965739940228,Diesel,Dealer,Manual,5,5.892045512206658
67822,9.520278282236491,Diesel,Dealer,Automatic,7,4.890192370272659
63822,9.67689750883361,Petrol,Dealer,Manual,6,4.724482035758851
53824,11.873822075892342,Petrol,Individual,Automatic,7,6.925587947757168
96822,9.39565547406643,Diesel,Dealer,Manual,9,3.341332274272032
62822,8.222823337611374,Petrol,Individual,Automatic,7,6.172525166607926
44819,9.721317120507424,Petrol,Dealer,Automatic,11,3.988778364461302
69823,10.751628514712763,CNG,Dealer,Automatic,6,5.4723026998717526
51822,9.943477339652352,Petrol,Dealer,Manual,10,5.747106437621119
52821,11.906376880691385,Petrol,Individual,Automatic,6,4.553027828797101
39322,8.004926920427796,Petrol,Individual,Automatic,7,4.35914853270944
39821,10.814391078920163,Diesel,Individual,Manual,4,5.861890798773643
80821,9.1486606848847,Diesel,Dealer,Automatic,8,5.605577276134163
52522,10.015753016172756,Petrol,Individual,Automatic,7,7.039721171887746
77422,8.901950519038857,CNG,Dealer,Automatic,6,5.022088122381324
113821,10.518570877728196,Petrol,Dealer,Manual,11,3.940623025814173
57821,8.997024887015952,Diesel,Dealer,Automatic,10,6.293495711280677
251821,10.507875004291533,Diesel,Individual,Manual,12,4.372718024238385
98821,8.65058024410095,Petrol,Dealer,Automatic,12,4.229959426760689
88823,9.778034352879624,Petrol,Dealer,Automatic,6,6.1522058341265575
40721,7.597100352189409,Petrol,Individual,Manual,16,5.476549822150528
70820,9.537196655929147,Petrol,Individual,Automatic,9,3.4177055643221106
56824,8.920297883777934,Petrol,Dealer,Automatic,9,6.40113632169757
88822,10.897682504076329,Petrol,Individual,Manual,16,4.669614246378268
538820,9.01502157061569,CNG,Dealer,Automatic,15,6.667219106207533
71822,10.2670489775256,Petrol,Dealer,Manual,12,7.520405368409357
96822,16.56391997360319,Petrol,Dealer,Manual,12,8.631184986666693
67022,13.56669717296624,Petrol,Dealer,Automatic,7,9.192455174936358
51300,14.61693702938605,Petrol,Dealer,Manual,6,11.249295043299906
73620,14.928278073097278,Diesel,Individual,Automatic,8,9.648497976480762
42257,16.277669824243976,Petrol,Individual,Manual,3,14.101766960810313
59946,14.932202601541013,Petrol,Dealer,Automatic,8,10.055302351676
74597,13.148638125365029,Petrol,Individual,Automatic,11,9.248976926518097
82355,23.42250915595688,Diesel,Individual,Automatic,9,14.581387667780952
70427,14.023459413389157,Diesel,Individual,Automatic,11,8.002074226363698
51322,10.809934785119305,Petrol,Individual,Automatic,8,8.285011558983607
83899,19.033346988552285,Petrol,Dealer,Manual,9,12.589828103845726
77313,12.478168339669256,Petrol,Dealer,Manual,6,8.499076642192243
70821,13.940293593351868,Diesel,Dealer,Automatic,9,9.41386750128758
116454,16.024196384901384,Diesel,Dealer,Automatic,7,10.028024759717642
63499,13.484097178961967,Petrol,Dealer,Automatic,8,11.303532288223156
98821,17.241685032787444,Diesel,Dealer,Automatic,10,9.962678469644867
53823,18.951819495558297,Petrol,Dealer,Automatic,6,14.220833125252645
51720,23.9335462561138,Diesel,Dealer,Manual,8,18.10370534764668
91822,15.336420428881144,Diesel,Dealer,Manual,9,8.31885449093109
43315,13.703996430812929,Petrol,Dealer,Manual,7,9.213675797579477
106824,22.278370065705083,Petrol,Dealer,Manual,7,16.34131387729294
71144,17.754218170793973,CNG,Dealer,Automatic,9,11.816351084565309
74689,13.95190436391924,Petrol,Individual,Manual,7,9.12262341171104
45822,14.471906692645447,Petrol,Individual,Manual,8,11.565557476988388
87823,17.31390239326801,Diesel,Individual,Manual,8,10.819898717528345
74822,17.68993308008457,CNG,Dealer,Automatic,4,11.363943515126028
68821,13.87380144501895,Diesel,Individual,Manual,10,9.30852941141481
74756,22.67672027658905,CNG,Individual,Manual,7,20.27964224918893
95521,21.15655192812117,Diesel,Dealer,Automatic,9,12.05522250298108
70249,15.547898586852186,Petrol,Dealer,Automatic,8,9.234575321794193
93065,17.800365635797654,Diesel,Dealer,Manual,9,12.856825197462737
92498,12.70626029543398,Petrol,Individual,Automatic,9,9.798746221668242
88384,23.508069605038266,Diesel,Dealer,Automatic,8,15.196578164046937
79147,21.90042833291808,Petrol,Dealer,Automatic,6,13.54523336281268
78844,14.24118036821852,Petrol,Individual,Manual,7,7.886013666984569
60022,16.398094596314944,Petrol,Individual,Automatic,6,11.63696222809478
58255,17.031427750521953,Diesel,Dealer,Manual,7,13.519694238221646
57822,15.962888101899672,Petrol,Dealer,Manual,4,11.201634009823998
57650,17.923352653080173,Diesel,Dealer,Automatic,7,10.995331436927856
66422,18.237201175880763,Petrol,Dealer,Manual,7,11.454731814485047
100025,16.327114220931577,Diesel,Individual,Automatic,11,7.264848439877096
55321,14.91093802630655,Diesel,Individual,Manual,8,10.19970090497802
69576,22.693453261287413,Petrol,Dealer,Automatic,5,16.39712079729891
53286,13.170340230498516,Petrol,Dealer,Automatic,10,8.675871426851243
89278,16.483717955954337,Petrol,Individual,Automatic,17,7.001434639380651
53882,16.90310047967645,Petrol,Individual,Automatic,8,11.921286738119372
67391,16.103473693031113,Petrol,Dealer,Automatic,8,11.86826664622586
49802,21.253340266836897,Petrol,Dealer,Automatic,7,14.101360720430849
57822,15.068387256855102,Diesel,Dealer,Manual,9,8.653973229404599
76822,17.946466579129975,Petrol,Dealer,Manual,12,6.949944249890754
98896,21.153730804030097,Petrol,Dealer,Manual,7,12.766552902352636
72809,21.42303971767052,CNG,Individual,Manual,7,13.502012539718272
98823,15.6994966433584,Diesel,Dealer,Manual,6,10.704020494206937
126757,20.17893761815208,CNG,Dealer,Automatic,13,7.645661559087204
47822,22.242172922804546,Diesel,Dealer,Manual,8,15.763937615498998
65822,14.376029466431952,Petrol,Dealer,Manual,8,8.875147904241757
45722,18.400608691250333,Petrol,Dealer,Manual,6,11.607906860755508
81272,13.054717492475362,Petrol,Individual,Manual,8,10.919233189187782
72251,18.002816074717096,Diesel,Dealer,Manual,6,12.657489618694608
59094,16.54742182835046,Diesel,Dealer,Automatic,7,12.972527420592217
40957,12.328449608250542,Petrol,Dealer,Automatic,7,7.546117416835214
89821,20.09107580064127,Diesel,Individual,Automatic,5,11.691787147740165
116248,15.139465907035111,Petrol,Dealer,Automatic,13,6.858545681405913
81822,17.595293471818607,CNG,Dealer,Automatic,6,13.21630209258484
80498,19.243282724769102,CNG,Individual,Manual,8,11.571533988189575
81822,17.791164701053663,CNG,Dealer,Manual,7,11.997397751630842
74322,13.45819939714008,Petrol,Dealer,Automatic,8,7.203682685237159
80265,16.97279724756133,Diesel,Dealer,Automatic,14,6.708872838195209
88820,16.186157607681288,Diesel,Individual,Automatic,11,9.025438170832668
95699,14.313065524495563,Petrol,Individual,Manual,9,5.698299489786351
83364,11.51431171293935,Diesel,Dealer,Automatic,11,7.302855911618091
83821,17.805893591789967,CNG,Dealer,Manual,9,11.657942350112158
93022,13.204169675358976,Petrol,Dealer,Manual,12,7.065450799142949
77822,13.563008208231826,CNG,Dealer,Manual,7,10.383429876342529
83821,18.68647496920968,Diesel,Dealer,Automatic,8,9.793895351059817
